time,low,high,open,close,volume,token,Pivot,R1,S1,R2,S2,Buy_Signal,Sell_Signal,Position
2024-03-03,124.73,132.18,130.13,130.22,847523.18075194,SOL,131.99333333333334,136.4766666666667,129.0066666666667,139.4633333333333,124.52333333333335,1,0,1
2024-03-02,127.35,131.8,129.55,130.22,885708.49977476,SOL,129.04333333333332,133.35666666666663,125.90666666666664,136.49333333333334,121.59333333333332,0,0,0
2024-03-01,125.68,137.84,125.74,129.53,1636860.0559873,SOL,129.79,132.23,127.77999999999997,134.24,125.33999999999997,1,1,1
2024-02-29,117.31,134.75,119.0,125.73,2841020.58837195,SOL,131.01666666666665,136.3533333333333,124.1933333333333,143.17666666666665,118.85666666666665,1,0,1
2024-02-28,107.32,119.0,108.44,119.0,2263257.151,SOL,125.93,134.55,117.11000000000001,143.37,108.49000000000001,1,0,1
2024-02-27,105.36,112.37,110.0,108.41,1384143.036,SOL,115.10666666666667,122.89333333333335,111.21333333333334,126.78666666666668,103.42666666666666,1,0,1
2024-02-26,100.3,110.85,103.47,110.0,1256201.065,SOL,108.71333333333332,112.06666666666665,105.05666666666664,115.72333333333333,101.70333333333332,1,0,1
2024-02-25,102.01,104.41,104.01,103.47,374182.919,SOL,107.05,113.8,103.25,117.6,96.5,1,0,1
2024-02-24,98.46,104.79,99.89,104.01,501961.722,SOL,103.29666666666667,104.58333333333333,102.18333333333334,105.69666666666666,100.89666666666668,1,1,1
2024-02-23,98.67,103.07,101.68,99.91,690566.609,SOL,102.42,106.38000000000001,100.05,108.75000000000001,96.08999999999999,1,0,1
2024-02-22,101.46,107.11,105.05,101.69,881129.479,SOL,100.55,102.42999999999999,98.03,104.94999999999999,96.15,0,1,-1
2024-02-21,100.15,108.42,108.35,105.05,1216043.161,SOL,103.42,105.38000000000001,99.73,109.07000000000001,97.77,0,1,-1
2024-02-20,104.0,112.14,111.57,108.32,1266590.908,SOL,104.54,108.93,100.66000000000001,112.81,96.27000000000001,0,1,-1
2024-02-19,110.81,114.86,112.26,111.57,774854.748,SOL,108.15333333333332,112.30666666666664,104.16666666666664,116.29333333333332,100.01333333333332,0,1,-1
2024-02-18,107.54,114.08,108.97,112.25,487184.428,SOL,112.41333333333334,114.01666666666668,109.96666666666668,116.46333333333334,108.36333333333334,1,1,1
2024-02-17,105.69,111.16,110.41,108.95,447059.748,SOL,111.29,115.04,108.50000000000001,117.83,104.75000000000001,1,0,1
2024-02-16,108.04,114.35,113.62,110.41,828697.254,SOL,108.60000000000001,111.51000000000002,106.04000000000002,114.07000000000001,103.13000000000001,0,1,-1
2024-02-15,111.6,118.48,117.12,113.62,1059592.235,SOL,110.93333333333332,113.82666666666664,107.51666666666665,117.24333333333331,104.62333333333333,0,1,-1
2024-02-14,110.66,118.71,112.54,117.14,1116969.957,SOL,114.56666666666666,117.53333333333333,110.65333333333332,121.44666666666667,107.68666666666665,0,1,-1
2024-02-13,108.29,115.17,111.72,112.55,1271137.212,SOL,115.50333333333333,120.34666666666666,112.29666666666667,123.55333333333333,107.45333333333333,1,0,1
